,Title,Description,Date,Source,Urls
147,Bank of Baroda shares fall 5% as brokerages cut target price on Q3 miss,"Bank of Baroda shares fell 5% as Q3 NII missed estimates due to lower NIM. Jefferies and HSBC cut targets to Rs 250. Nuvama sees value, retaining a ""BUY"" with a Rs 265 target. Despite weak loan growth, BoB’s profit rose 6% YoY, supported by strong non-interest income.",11 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/bank-of-baroda-shares-fall-5-as-brokerages-cut-target-price-on-q3-miss/articleshow/117770664.cms
148,Will Indian markets be better off if the one-day mega Budget event is removed?,"The Indian Budget day generates extreme hype and market volatility. Experts suggest spreading fiscal plans throughout the year, like the US and UK, to ensure more focused and timely policy interventions. This approach could improve India's overall economic management and reduce sudden market reactions.",11 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/will-indian-markets-be-better-off-if-the-one-day-mega-budget-event-is-removed/articleshow/117769534.cms
149,"Waaree Energies Stock Jumps 14% On Strong Q3 Results; CEO Highlights Rs 50,000 Crore Order Book","India's share in Waaree Energies' large order book is 45%, CEO Amit Paithankar said.",11 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/waaree-energies-share-price-jumps-on-strong-q3-results-ceo-highlights-rs-50000-crore-order-book
150,"Reduce Mahindra Finance, target price Rs 263:  Centrum Broking","Centrum Broking has issued a 'reduce' rating for Mahindra & Mahindra Financial Services Ltd. with a target price of Rs 263. The company reported a consolidated total income of Rs 4799.45 crore for Q3 2024, an increase from previous figures. The brokerage expects favorable AUM/PPOP/PAT growth over FY24-FY27E and improved RoA/RoE by FY27E.",11 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/recos/reduce-mahindra-amp-mahindra-financial-services-target-price-rs-263-centrum-broking/articleshow/117722818.cms
151,These 6 F&O stocks saw a high increase in futures open interest,"On January 30, six NSE F&O stocks saw a surge in futures open interest, exceeding 5%, indicating increased market participation. Key gainers include Voltas, Adani Ports, ABB India, L&T, and ICICI Bank.",11 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/these-6-fo-stocks-saw-a-high-increase-in-futures-open-interest/slideshow/117770384.cms
152,Stock market update: Fertilisers stocks  up  as market  rises,The 30-share BSE Sensex was  up  253.42 points at 77013.23,11 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/117770235.cms
153,"L&T, Tata Consumer Products, Waaree Energies, Biocon, Kalyan Jewellers Shares React Post Q3 Results",Tata Consumer Products Ltd. shares rose nearly 6% after registering a flat net profit of Rs 278.8 crore.,11 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/lt-tata-consumer-products-waaree-energies-biocon-kalyan-jewellers-shares-react-post-q3-results
154,PB Fintech Q3 Review: Citi Hikes Target Price; Shares Rise Over 2%,The hike in target price comes after the Policybazaar parent reported strong third quarter results.,11.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/pb-fintech-q3-review-citi-hikes-target-price-macquarie-retains-shares-rise
155,"Budget & stock market: Why odds of Sensex, Nifty rallying are high after D-Day","Sensex and Nifty, currently experiencing a four-month negative run, have historically shown strong rebounds post-Budget when preceding expectations were low. With low market expectations for the upcoming budget, chances of a positive turn are high, especially in agriculture and infrastructure sectors.",11.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/budget-stock-market-why-odds-of-sensex-nifty-rallying-are-high-after-d-day/articleshow/117769355.cms
156,Justice Department sues to block $14 billion Juniper buyout by Hewlett Packard Enterprise,"U.S. government regulators sued to block Hewlett Packard Enterprise’s $14 billion acquisition of rival Juniper Networks on Thursday, saying the combination would eliminate competition, raise prices and reduce innovation",11.5 hours ago,— The Hindu Business,https://www.thehindu.com/sci-tech/technology/justice-department-sues-to-block-14-billion-juniper-buyout-by-hewlett-packard-enterprise/article69162316.ece
157,Kalyan Jewellers Shares Up 5% After Q3 Results As Management Guides For Better Earnings,"Citi reduced its Kalyan Jewellers target price from Rs 810 to Rs 650, implying a return potential of 47.5% over Thursday's close.",11.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/kalyan-jewellers-shares-up-5-after-q3-results-as-management-guides-for-better-earnings
158,"Stocks To Buy Today: SRF, Bajaj Auto, IGL, JSW Steel",These stock calls have a potential upside of up to 6.3%.,11.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/stocks-to-buy-today-srf-bajaj-auto-igl-jsw-steel
159,Kalyan Jewellers stock zooms nearly 8% after Q3 PAT rises 44% YoY,"Kalyan Jewellers shares rose 7.65% after reporting a 44% YoY growth in profit after tax (PAT) for Q3 FY25, reaching Rs 219 crore. Revenue grew 40% to Rs 7,287 crore. The company’s India operations saw strong PAT growth, while Middle East performance was slightly impacted by new taxes. E-commerce division Candere posted increased revenue but incurred a larger loss.",11.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/kalyan-jewellers-stock-zooms-nearly-8-after-q3-pat-rises-44-yoy/articleshow/117768939.cms
160,"Gold Price Today: Yellow metal hits another all-time high at Rs 82,357/10 g, silver at Rs 93,600/kg","Gold April futures hit a record high of Rs 82,357/10g on MCX amid safe-haven buying due to US tariff concerns. Silver also surged, nearing an 8-week high. Weak US economic data and ECB rate cuts supported prices. Analysts expect volatility ahead of US core PCE data. Gold and silver remain strong amid global financial market fluctuations.",11.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/commodities/news/gold-price-today-yellow-metal-hits-another-all-time-high-at-rs-82357/10-g-silver-at-rs-93600/kg/articleshow/117768876.cms
161,"L&T shares rally 5% after Q3 PAT surges 12% YoY. Should you buy, sell or hold?","L&T ​ share price: L&T's shares surged 5% following its Q3 FY25 results, which showed a 14% YoY increase in net profit and 17% growth in consolidated revenues. The company also reported record-high quarterly orders, prompting positive outlooks from analysts, with target prices set between Rs 3,820 and Rs 4,000.",11.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/lt-shares-rally-5-after-q3-pat-surges-12-yoy-should-you-buy-sell-or-hold/articleshow/117768798.cms
162,"Buy JTL Industries, target price Rs 115:  Axis Securities","Axis Securities recommends buying JTL Industries with a target price of Rs 115. JTL, a Small Cap company in the Metals - Ferrous sector, showed a quarterly decline in total income and net profit of Rs 24.94 crore for the latest quarter. Despite revising sales and EBITDA estimates, Axis projects a 20% upside on the current market price.",12 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/recos/buy-jtl-industries-target-price-rs-115-axis-securities/articleshow/117720752.cms
163,"L&T, Infosys stocks lift Sensex over 400 points higher, Nifty tops 23,350","Indian benchmark indices, Sensex and Nifty50, opened higher for the fourth consecutive day, driven by gains in L&T and IT stocks. Investors are optimistic about positive triggers from the upcoming Union Budget. Despite these gains, both indices remain down about 11% from their record highs in September 2024.",12 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/lt-infosys-stocks-lift-sensex-over-200-points-higher-nifty-tops-23300/articleshow/117768506.cms
164,Hitachi Energy India and 2 other stocks closed above VWAP,"On January 30, three Nifty500 stocks closed over 1.5% above VWAP, signaling a potential bullish trend. This suggests strong buying interest and positive market sentiment.",12 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/hitachi-energy-india-and-2-other-stocks-closed-above-vwap/slideshow/117768755.cms
165,Rupee Opens Flat Against US Dollar,The weakness in the rupee comes amid ongoing global economic concerns and market volatility.,12 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/economy-finance/rupee-opens-flat-against-us-dollar-6
166,"Jindal Steel & Power Announces New Capex Of Rs 16,000 Crore","The new capex announcement comes over and above the Rs 31,000 crore already announced by the company. Jindal Steel and Power has spent around 76% or Rs 23,600 crore of this capex so far.",12 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/quarterly-earnings/jindal-steel-power-announces-new-capex-of-rs-16000-crore
167,These 3 stocks closed below VWAP on January 30,"When the closing price falls below the VWAP, it signifies that the closing price is lower than the average price at which the stock was traded throughout the day, with the average being weighted by trading volume.",12 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/these-3-stocks-closed-below-vwap-on-january-30/slideshow/117768534.cms
168,Bullish Momentum: 8 stocks with White Marubozu Pattern on January 30,"Eight Nifty500 stocks formed a bullish White Marubozu pattern on January 30, indicating strong buying momentum. Traders see this as a sign of sustained upward pressure in these stocks.",12 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/bullish-momentum-8-stocks-with-white-marubozu-pattern-on-january-30/slideshow/117768376.cms
169,"Neutral on Bajaj Auto, target price Rs 8,770:  Motilal Oswal Financial Services","Motilal Oswal Financial Services maintains a Neutral rating on Bajaj Auto with a target price of Rs 8,770. Bajaj Auto faces market share losses in the domestic motorcycle segment and uncertain future exports outlook. Despite a recent price correction, the stock appears fairly valued at current EPS projections. The company's net profit for the latest quarter stands at Rs 2195.",12 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/recos/neutral-bajaj-auto-target-price-rs-8770-motilal-oswal-financial-services/articleshow/117720340.cms
170,Tata Consumer shares rise 5% on strong domestic business growth in Q3,"Tata Consumer Products shares surged 5.4% despite flat profit growth due to higher tea prices. Revenue rose 17% YoY to Rs 4,444 crore, bolstered by strong performance in India. Analysts provide mixed ratings; Jefferies maintains a 'Buy', while Goldman Sachs gives a 'Neutral' rating.",12 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/tata-consumer-products-shares-in-focus-after-weak-q3-results-should-you-stay-invested/articleshow/117767928.cms
171,Nazara Technologies shares in focus as subsidiary acquires Starladder for $5.5 million,Nazara Technologies share price: This acquisition will greatly boost NODWIN Gaming's ability to organize major esports events worldwide and expand its portfolio of owned content. NODWIN Gaming plans to leverage StarLadder's expertise and connections.,12 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/nazara-technologies-shares-in-focus-as-subsidiary-acquires-starladder-for-5-5-million/articleshow/117767766.cms
172,"Stocks to buy today: Tata Steel, SBI among top 10 trading ideas for January 31, 2025","Indian markets are expected to consolidate on Friday amid mixed cues. The Nifty futures closed positive, and options data suggests a broader range of 22,900–23,700. Experts recommend stocks like Hindustan Aeronautics, Tata Steel, SBI, and Cummins India for short-term trading.",12.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-today-tata-steel-sbi-among-top-10-trading-ideas-for-january-31-2025/articleshow/117767608.cms
173,"ETMarkets Smart Talk | Green Energy, Agri among top 6 strategic themes that could see increased spending in Budget 2025: Jiten Doshi","We have witnessed among the fiercest, longest and broadest market move, since the 2020 pandemic. The roller coaster has navigated uncertainties of pandemic, wars, and sharp supply shocks.",12.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-green-energy-agri-among-top-6-strategic-themes-that-could-see-increased-spending-in-budget-2025-jiten-doshi/articleshow/117738927.cms
174,"ETMarkets Smart Talk: Budget 2025 could drive India’s $5 trillion economy ambition, says Amisha Vora",A growth-focused budget that stimulates spending and addresses fiscal priorities could drive market sentiment and set the stage for FY26 growth.,12.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-budget-2025-could-drive-indias-5-trillion-economy-ambition-says-amisha-vora/articleshow/117729275.cms
175,Shree Cement shares in focus on Q3 sequential recovery; brokerages remain upbeat,"Shree Cement share price: The cement major reported a 69% YoY decline in Q3 profit to Rs 229 crore, impacted by lower revenue and weak cement prices, despite reduced power and fuel costs. Sequentially, the company saw a 146% jump in profit and a 60% rise in EBITDA. Shree Cement is expanding its production capacity, with projects expected to be commissioned in Q2 FY2025.",12.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/shree-cement-shares-in-focus-on-q3-sequential-recovery-brokerages-remain-upbeat/articleshow/117767267.cms
176,PB Fintech shares in focus after posting an 88% YoY surge in Q3 profit to Rs 71 crore -,"PB Fintech reported an 88% YoY increase in Q3 profit, reaching Rs 71.54 crore, driven by a 48% rise in revenue and a 62% surge in insurance broker services. However, its credit business faced challenges due to the RBI’s crackdown on unsecured lending. The company’s shares rose 83.99% in the past year, outperforming its sector.",12.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/pb-fintech-shares-in-focus-after-posting-an-88-yoy-surge-in-q3-profit-to-rs-71-crore-/articleshow/117767090.cms
177,Budget 2025: No LPG Compensation To Result In Heavy Losses For OMCs,"If the Budget 2025 announces no LPG compensation, Bharat Petroleum, Hindustan Petroleum and Indian Oil could see annual losses of Rs 9,000 crore to Rs 18,500 crore in FY25.",12.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/budget/budget-2025-no-lpg-compensation-to-result-in-heavy-losses-for-omcs-indian-oil-bpcl-hpcl
178,Wipro shares in focus after multi-million-dollar deal with Etihad Airways,"Wipro share price: As part of the contract, Wipro FullStride Cloud will deliver a tailored cloud-based solution that provides Etihad Airways with real-time insights into resource utilization, while improving operational agility and scalability across its global operations.",13 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/wipro-shares-in-focus-after-multi-million-dollar-deal-with-etihad-airways/articleshow/117766685.cms
179,Urban slowdown might continue to hamper volume growth for FMCG companies: Mayuresh Joshi,"Rural India is expected to show improvement in Q4 and Q1 due to a good rabi harvest and increased MSP prices. However, urban areas may continue to experience a slowdown, affecting FMCG companies' volume growth. Dabur's performance across its business divisions has remained steady, with the company introducing lower-priced SKUs to counter urban spending issues.",13 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/urban-slowdown-might-continue-to-hamper-volume-growth-for-fmcg-companies-mayuresh-joshi/articleshow/117743299.cms
180,"Stock Recommendations Today: Jindal Steel, Dabur, BEL, L&T And More On Brokerages' Radar",NDTV Profit tracks what analysts are saying about various stocks and sectors. Here are the analyst calls to keep an eye out for on Friday.,13 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/stock-recommendations-today-jindal-steel-dabur-bel-lt-and-more-on-brokerages-radar
181,Jio Financial Services Share Price Live Updates: Jio Financial Services Updates: Current Price and Change,,13 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/jio-financial-services-share-price-today-live-updates-31-jan-2025/liveblog/117766342.cms
182,Sk Hynix shares open down 11% on AI chip concerns,"Shares of South Korea's SK Hynix fell 10.9% following concerns over the impact of China's low-cost AI model, DeepSeek, on the U.S. AI sector, affecting its role as a key supplier of chips for Nvidia.",13 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/sk-hynix-shares-open-down-11-on-ai-chip-concerns/articleshow/117766185.cms
183,Apple’s Flagging AI Hopes Get Revival From DeepSeek’s Emergence,"Several firms have downgraded the stock this month, cementing Apple’s status as the least-loved megacap besides Tesla Inc.",13 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/technology/apples-flagging-ai-hopes-get-revival-from-deepseeks-emergence
184,Senco Gold shares to trade ex-split on Friday,"Shares of Senco Gold will trade ex-bonus from Friday due to a 1:2 stock split, with January 31 set as the record date to determine shareholder eligibility. Each Rs 10 equity share will be divided into two Rs 5 shares, doubling the share count but keeping the investment value unchanged.",13 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/senco-gold-shares-to-trade-ex-split-on-friday/articleshow/117766107.cms
185,Titan Company Share Price Live Updates: Titan Company Maintains Strong Trading Position,,13 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/titan-company-share-price-live-31-jan-2025/liveblog/117765974.cms
186,Can the Budget help get foreign money outflow reversed? Sandip Sabharwal answers,"Sandip Sabharwal highlights that for foreign investor flows to return to Indian equities, the US dollar rally must stop and Indian economic growth must revive. He suggests the Budget could include measures like tax cuts and increased capital expenditure. He also notes mixed earnings reports and the potential challenges real estate and consumer durable sectors may face.",13 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/can-the-budget-help-get-foreign-money-outflow-reversed-sandip-sabharwal-answers/articleshow/117736655.cms
187,HM Electro Mech IPO listing today. Here's what GMP signals ahead of debut,"HM Electro Mech shares are set to debut on BSE SME with an 8% premium. The IPO, priced at Rs 75, was oversubscribed 91 times. The company focuses on turnkey projects in pumping machinery and has diversified into electrification and EPC projects.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/hm-electro-mech-ipo-listing-today-heres-what-gmp-signals-ahead-of-debut/articleshow/117765537.cms
188,"MGL, GRSE among 8 stocks that will trade ex-dividend on Monday. Last day to buy","Investors looking to qualify for dividend payouts from 8 companies, including Mahanagar Gas Ltd and Garden Reach Shipbuilders & Engineers, need to purchase shares before the ex-date of February 3. Companies such as Godrej Consumer Products and The Great Eastern Shipping Company have announced interim dividends, making this an important date for income-seeking investors.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/mgl-grse-among-8-stocks-will-trade-ex-dividend-on-monday-last-day-to-buy/articleshow/117765488.cms
189,GB Logistics Commerce shares to list today. Check GMP to know listing potential,"GB Logistics Commerce's IPO grey market premium stands at 16% ahead of its BSE SME listing, reflecting strong investor interest with the issue subscribed over 180 times. The company plans to use the IPO funds for debt repayment, working capital, and purchasing truck equipment.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/gb-logistics-commerce-shares-to-list-today-check-gmp-to-know-listing-potential/articleshow/117765405.cms
190,Positive Breakout: These 10 stocks cross above their 200 DMAs,"As long as the stock is priced above the 200-day SMA on the daily time frame, it is generally considered to be an overall uptrend.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/positive-breakout-these-10-stocks-cross-above-their-200-dmas/slideshow/117765340.cms
191,"US Unemployment Data, IRDAI On Senior Citizens' Insurance, SEBI's Check On Exchanges | Rise With Profit","NDTV Profit Podcast: From Trump's tariff threats to SEBI's new checks for stock exchanges' performance, here is everything you need to know to start your day ahead of the curve.",13.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/us-unemployment-data-irdai-on-senior-citizens-insurance-sebis-check-on-exchanges-rise-with-profit-31-01-2025
192,"Q3 results today: Vedanta, Nestle among 134 companies to announce earnings on Friday","The third quarter earnings results will be announced by 134 companies, with key players such as Nestle India, IndusInd Bank, Sun Pharma, ONGC, Vedanta, and Marico in focus. Nestle's profits are expected to show marginal growth, while IndusInd Bank may see a significant decline in PAT due to slower loan growth and rising slippages.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/q3-results-today-vedanta-nestle-among-134-companies-to-announce-earnings-on-friday/articleshow/117765158.cms
193,"Stock Market Live: GIFT Nifty Near 23,400; Ajanta Pharma, Biocon, Container Corp Share Prices In Focus",Get live updates on Indian stock markets here on Jan 31.,13.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/stock-market-live-update-nifty-50-sensex-nifty-bank-gift-nifty-trading-levels-on-31-01-2025
194,FCC #3: Bitcoin and cryptos beyond money,The third part of our Finshots Cracks Crypto series where we tell you why you should care about Bitcoin or crypto.,13.5 hours ago,— Finshots,https://finshots.in/archive/finshots-cracks-crypto-3-bitcoin-and-cryptos-beyond-money/
195,"Stocks to buy: Nestle, Bajaj Finance and IndusInd Bank on investors' radar","Benchmark indices Sensex and Nifty closed higher for the third consecutive day on Thursday due to buying in heavyweight stocks like Nestle India, IndusInd Bank, and Bajaj Finance. Technical analysts recommend holding Nestle India and Bajaj Finance, while advising investors to exit IndusInd Bank.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-nestle-bajaj-finance-and-indusind-bank-on-investors-radar/articleshow/117765112.cms
196,Apple shares rise after positive sales outlook signals iPhone recovery,"Apple predicts strong sales growth fueled by the rollout of artificial intelligence features, despite a slight dip in iPhone sales during the holiday quarter. AI features will expand to European markets in spring, boosting device sales. Apple's overall strong performance was driven by better-than-expected iPad and Mac sales, with new chips enticing upgrades.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/apple-shares-rise-after-positive-sales-outlook-signals-iphone-recovery/articleshow/117764900.cms
197,"SoftBank in talks to lead OpenAI funding round at $300 billion valuation, sources say","SoftBank Group is negotiating to lead a $40 billion funding round for AI developer OpenAI, which could value the company at $300 billion. This move comes as competition heats up with Chinese startup DeepSeek's low-cost AI model. The investment is expected to involve convertibles and is contingent on OpenAI restructuring away from its non-profit status.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/softbank-in-talks-to-lead-openai-funding-round-at-300-billion-valuation-sources-say/articleshow/117764855.cms
198,Samsung sees limited first-quarter earnings growth due to weak chips business,"Samsung Electronics forecasts limited earnings growth in Q1 2025 due to weak memory chip market conditions, despite efforts to supply high-end chips to Nvidia. The company expects memory market demand to recover from Q2 2025. Samsung's Q4 2024 operating profit was 6.5 trillion won, impacted by declines in mobile phone business and chip division performance.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/samsung-sees-limited-first-quarter-earnings-growth-due-to-weak-chips-business/articleshow/117764818.cms
199,US retail investors dive into tech stocks in response to DeepSeek selloff,"Retail investors took advantage of the market selloff earlier this week by buying various technology stocks, including Nvidia, Tesla, Broadcom, and Apple, according to Vanda Research. This surge of investment, fueled by the recent decline in stock prices, led to an inflow of roughly $4.25 billion into U.S. markets over a few days, reaching post-election levels.",13.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/us-retail-investors-dive-into-tech-stocks-in-response-to-deepseek-selloff/articleshow/117764777.cms
200,Intel's quarterly revenue tops expectations as investors await new CEO,"Intel exceeded December-quarter expectations, but its current-quarter forecast missed predictions. The company struggles with low demand for data center chips and awaits a new CEO. Interim Co-CEO Michelle Johnston Holthaus announced a halt on a new AI chip design. Intel faces competition from Nvidia and AMD, and concerns over tariffs impacting sales.",14 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/intels-quarterly-revenue-tops-expectations-as-investors-await-new-ceo/articleshow/117764724.cms
201,"Trump Tariff Vow Heaps Pressure On Canada, Mexico, China FX",The US president has also raised the possibility of raising tariffs to imports from the European Union.,14 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/global-economics/trump-tariff-vow-heaps-pressure-on-canada-mexico-china-fx
202,Yen set for best January in seven years as rates path diverge,"The yen is poised for its best monthly start of the year since 2018, due to expectations the Bank of Japan will continue raising rates. Meanwhile, the Mexican peso and Canadian dollar face uncertainty ahead of potential U.S. tariffs. The euro, Australian and New Zealand dollars are set to decline as their respective central banks consider easing measures.",14 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/forex/yen-set-for-best-january-in-seven-years-as-rates-path-diverge/articleshow/117764677.cms
203,"Global Gold Rates Hit All Time High — Check Rates In Mumbai, Bengaluru, Delhi, Chennai And More","Global gold price hit an all time high of $2,791, as the dollar declined after the latest US economic data showed lower growth than expected.",14 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/global-gold-rates-hit-all-time-high-check-rates-in-mumbai-bengaluru-delhi-chennai-and-more
204,"Gold hits new peak on Trump tariff worries, US inflation data in focus","Gold prices reached a new peak on Friday and marked a fifth consecutive weekly gain due to concerns over U.S. tariff threats and anticipation of a crucial inflation report. Spot gold increased to $2,795.92 per ounce, rising nearly 1% for the week. Investors are keenly awaiting the December U.S. personal consumption expenditures price index report.",14 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/commodities/news/gold-hits-new-peak-on-trump-tariff-worries-us-inflation-data-in-focus/articleshow/117764630.cms
205,US indexes end up as investors weigh earnings; tariff talk a damper,"US stocks saw gains on Thursday despite volatile trading and tariff concerns. Upbeat comments from Tesla's CEO Elon Musk, promising new cheaper models and autonomous services, helped boost the market. However, Microsoft's disappointing cloud growth forecast weighed on tech stocks. Record highs were noted in communication services and financials, with investors closely watching upcoming economic data and earnings reports.",14 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/indexes-end-up-as-investors-weigh-earnings-tariff-talk-a-damper/articleshow/117764580.cms
206,Sensex Today | Stock Market LIVE Updates: GIFT Nifty signals a muted start; Asian shares trade lower,,14 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/live-blog/bse-sensex-today-live-nifty-stock-market-updates-31-january-2025/liveblog/117764365.cms
207,Why is Indian Hotels a buy after the recent fall from December 2024 highs?,,14 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/why-is-indian-hotels-a-buy-after-the-recent-fall-from-december-2024-highs/videoshow/117764329.cms
208,"Stocks To Watch Today:  Biocon, Wipro, ICICI Lombard, JK Cement, Paradeep Phosphates","Epack Durable, Affle and JK Cement are some of the other stocks to watch.",14.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/stocks-to-watch-today-biocon-wipro-icici-lombard-jk-cement-paradeep-phosphates
209,37 old and new schemes to look out for on Budget day,"Schemes such as Digital India, Startup India and Smart Cities Mission have recorded consistent declines in funding",14.5 hours ago,— The Hindu Business,https://www.thehindu.com/data/37-old-and-new-schemes-to-look-out-for-on-budget-day/article69158466.ece
210,Parliament Budget Session Day 1 LIVE: President Murmu to address joint session today,Union Finance Minister Nirmala Sitharaman will table the Economic Survey 2024-25 in both Lok Sabha and Rajya Sabha,14.5 hours ago,— The Hindu Business,https://www.thehindu.com/news/national/parliament-budget-session-day-1-live-updates-january-31-2025-nirmala-sitharaman-president-murmu-economic-survey/article69162258.ece
211,Apple Forecast Cheers Investors After Mixed Holiday Results,"The results renewed concerns about China, one of Apple’s biggest markets, where it’s struggled to fend off competition from local brands.",14.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/apple-forecast-cheers-investors-after-mixed-holiday-results
212,OpenAI In Talks For New Funding At Up To $300 Billion Value,"The post-money valuation would be $300 billion, assuming OpenAI raises the full amount.",14.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/technology/openai-in-talks-for-new-funding-at-up-to-300-billion-value
213,Oil Prices Advance As Trump’s Tariff Threats Rattle Global Markets,"West Texas Intermediate rose above $73 a barrel, with Brent closing near $77.",14.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/oil-prices-advance-as-trumps-tariff-threats-rattle-global-markets
214,"Asian Equities Fall As Samsung, SK Hynix Weigh: Markets Wrap",Nvidia shares rose Thursday but remained on track for the worst week since September.,14.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/global-stock-markets-asian-indices-hang-sheng-nikkei-dax-ftse-nasdaq-s-and-p-dow-jones-news-today-31-01-2025
215,"Asian equities fall as Samsung, SK Hynix weigh","A gauge of Asian shares fell after two daily advances, and despite gains for Australian equities. Markets in mainland China, Hong Kong and Taiwan remain closed for the Lunar New Year holiday. SK Hynix Inc. and Samsung Electronics Co. fell, weighing on Korea’s Kospi.",15 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/asian-equities-fall-as-samsung-sk-hynix-weigh/articleshow/117763305.cms
216,GIFT Nifty up 10 points; here's the trading setup for today's session,"Investors will be closely tracking the Budget-related developments, with focus on capex and consumption linked sectors. Analysts expect the market to trade within a broad range, with stock specific action ahead of the Budget and ongoing Q3 results.",15 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/pre-market-action-heres-the-trade-setup-for-todays-session/articleshow/117763212.cms
217,"Stocks in news: Nestle, Vedanta, L&T, Motilal Oswal, Greenlam Industries","Shares of Nestle India, IndusInd Bank, Sun Pharma, ONGC, Vedanta and Marico will be in focus as the companies will announce their third quarter results today.",15 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-nestle-vedanta-lt-motilal-oswal-greenlam-industries/articleshow/117763112.cms
